variant,seed,best_fitness,modules
replace_node,42,14.32828568570857,13
replace_node,43,14.367156809750927,11
replace_node,44,14.676575213227443,11
replace_node,45,14.172458299147443,9
replace_node,46,13.26332495807108,15
subtree_replacement,42,12.988409872672513,13
subtree_replacement,43,12.134846922834953,13
subtree_replacement,44,12.62664991614216,13
subtree_replacement,45,12.478232998312528,12
subtree_replacement,46,12.974165738677394,15
random_search,42,16.474165738677396,21
random_search,43,17.134846922834953,21
random_search,44,16.878232998312527,21
random_search,45,17.36619037896906,21
random_search,46,17.063324958071078,21
