generation,best,mean,std,worst
0,19.05758369027902,20.82782312090278,0.9944658536949157,22.995451410656816
1,16.389572005931218,19.211534528809082,0.9589163580425575,20.281488772222676
2,16.389572005931218,17.748196159355793,0.7130326639616434,18.816590212458493
3,15.398717737923585,16.843355029270466,0.4628703434386111,17.412931993250105
4,15.398717737923585,16.34475029330209,0.2891895922377408,16.714674215792776
5,15.398717737923585,16.039967438662817,0.26682147973144116,16.389572005931218
6,15.117935662402834,15.787866868728507,0.22295581091397507,16.026368339802364
7,14.953068523537421,15.54516698220686,0.22216567144544608,15.829872518944558
8,14.387467277262665,15.348145220522937,0.26689184750955053,15.629888335921976
9,14.341653005427768,15.160927854013162,0.28663764708551287,15.470540018881465
10,14.341653005427768,14.988832707175487,0.28923662778684683,15.279673898594819
11,14.341653005427768,14.849261265152352,0.2251452074105266,15.120215047547655
12,14.341653005427768,14.690942844713023,0.20042741885860388,14.956141357987224
13,14.319160170741759,14.582418197333407,0.1631551294162305,14.819160170741759
14,13.802172886644268,14.441066447605385,0.16047862186173614,14.617935662402834
15,13.802172886644268,14.37111037648068,0.15430817581070902,14.574021572639982
16,13.741653005427766,14.28660269226592,0.17590846090730175,14.449576240750524
17,13.255294535724685,14.121182318133274,0.23561715403914413,14.346049894151541
18,13.255294535724685,14.035233031016148,0.21995379681661384,14.302172886644268
19,13.255294535724685,13.894462759486817,0.1706994344743382,14.141311123146739
20,13.255294535724685,13.84041866737574,0.16631092522862959,14.009980079602226
21,13.255294535724685,13.776049396349395,0.16253048865928707,13.957342370508885
22,13.224807680927192,13.685392387963367,0.16303336698704984,13.877902338672774
23,13.224807680927192,13.652959739464222,0.15704614234345932,13.833907960581373
24,13.224807680927192,13.591444417348386,0.1524362160526977,13.764688270438851
25,13.224807680927192,13.543685509137006,0.13043465335827528,13.70293863659264
26,13.224807680927192,13.498401449903207,0.12702321408420436,13.65796522451032
27,13.224807680927192,13.466396165899377,0.12237124017662118,13.635270009440731
28,13.173320053068151,13.43054051548822,0.11834981985042328,13.593468988235944
29,13.173320053068151,13.395439688023975,0.1070401228018338,13.573644135332772
30,13.173320053068151,13.361590895352446,0.09678180891757615,13.5
31,13.173320053068151,13.340743924897977,0.08225962410549163,13.47484176581315
32,13.173320053068151,13.316359644900427,0.07556980066733812,13.43469899493758
33,13.057583690279023,13.292868971175453,0.07288452936549825,13.423538406167134
34,13.057583690279023,13.267973919270164,0.060879151700030436,13.37082869338697
35,13.057583690279023,13.256602605393951,0.06177613842403079,13.36397674405503
36,13.057583690279023,13.2375792724236,0.05282144093402168,13.333907960581373
37,13.057583690279023,13.227450112019488,0.05427092156293621,13.307878402833891
38,13.057583690279023,13.220946390004647,0.049085701928461525,13.303329637837292
39,13.057583690279023,13.20663342747049,0.04861920888716763,13.255294535724685
40,12.988409872672513,13.196692060047935,0.054827052038528216,13.255294535724685
41,12.988409872672513,13.178326084258936,0.06411828662876612,13.224807680927192
42,12.988409872672513,13.172713629818315,0.06192987972903943,13.224807680927192
43,12.988409872672513,13.158971548753854,0.06703382236227813,13.224807680927192
44,12.988409872672513,13.149546056895229,0.07350556909004365,13.2131126469709
45,12.988409872672513,13.126289579942767,0.0797833765675369,13.20293863659264
46,12.988409872672513,13.107539972014267,0.08013881295992993,13.20293863659264
47,12.988409872672513,13.088908741643376,0.0770690214628675,13.173320053068151
