generation,best
0,19.05758369027902
1,18.8295630140987
2,17.30990195135928
3,17.30990195135928
4,17.30990195135928
5,17.30990195135928
6,17.30990195135928
7,17.30990195135928
8,17.30990195135928
9,17.30990195135928
10,17.30990195135928
11,17.30990195135928
12,17.30990195135928
13,17.30990195135928
14,17.30990195135928
15,17.30990195135928
16,17.30990195135928
17,17.30990195135928
18,17.30990195135928
19,17.30990195135928
20,17.30990195135928
21,17.30990195135928
22,17.30990195135928
23,17.30990195135928
24,17.30990195135928
25,17.30990195135928
26,17.30990195135928
27,17.30990195135928
28,17.30990195135928
29,17.30990195135928
30,17.30990195135928
31,16.474165738677396
32,16.474165738677396
33,16.474165738677396
34,16.474165738677396
35,16.474165738677396
36,16.474165738677396
37,16.474165738677396
38,16.474165738677396
39,16.474165738677396
40,16.474165738677396
41,16.474165738677396
42,16.474165738677396
43,16.474165738677396
44,16.474165738677396
45,16.474165738677396
46,16.474165738677396
47,16.474165738677396
48,16.474165738677396
49,16.474165738677396
50,16.474165738677396
51,16.474165738677396
52,16.474165738677396
53,16.474165738677396
54,16.474165738677396
55,16.474165738677396
56,16.474165738677396
57,16.474165738677396
58,16.474165738677396
59,16.474165738677396
60,16.474165738677396
61,16.474165738677396
62,16.474165738677396
63,16.474165738677396
64,16.474165738677396
65,16.474165738677396
66,16.474165738677396
67,16.474165738677396
68,16.474165738677396
69,16.474165738677396
70,16.474165738677396
71,16.474165738677396
72,16.474165738677396
73,16.474165738677396
74,16.474165738677396
75,16.474165738677396
76,16.474165738677396
77,16.474165738677396
78,16.474165738677396
79,16.474165738677396
80,16.474165738677396
81,16.474165738677396
82,16.474165738677396
83,16.474165738677396
84,16.474165738677396
85,16.474165738677396
86,16.474165738677396
87,16.474165738677396
88,16.474165738677396
89,16.474165738677396
90,16.474165738677396
91,16.474165738677396
92,16.474165738677396
93,16.474165738677396
94,16.474165738677396
95,16.474165738677396
96,16.474165738677396
97,16.474165738677396
98,16.474165738677396
99,16.474165738677396
100,16.474165738677396
