generation,best
0,19.07364413533277
1,18.63527000944073
2,18.63527000944073
3,17.563818169698585
4,17.563818169698585
5,17.563818169698585
6,17.563818169698585
7,17.563818169698585
8,17.563818169698585
9,17.563818169698585
10,17.563818169698585
11,17.563818169698585
12,17.563818169698585
13,17.563818169698585
14,17.563818169698585
15,17.46619037896906
16,17.46619037896906
17,17.46619037896906
18,17.46619037896906
19,17.46619037896906
20,17.46619037896906
21,17.46619037896906
22,17.46619037896906
23,17.46619037896906
24,17.46619037896906
25,17.46619037896906
26,17.46619037896906
27,17.46619037896906
28,17.46619037896906
29,17.46619037896906
30,17.46619037896906
31,17.46619037896906
32,17.46619037896906
33,17.46619037896906
34,17.46619037896906
35,17.46619037896906
36,17.46619037896906
37,17.46619037896906
38,17.46619037896906
39,17.46619037896906
40,17.46619037896906
41,17.46619037896906
42,17.46619037896906
43,17.46619037896906
44,17.46619037896906
45,17.46619037896906
46,17.46619037896906
47,17.46619037896906
48,17.46619037896906
49,17.46619037896906
50,17.46619037896906
51,17.46619037896906
52,17.46619037896906
53,17.46619037896906
54,17.46619037896906
55,17.46619037896906
56,17.46619037896906
57,17.46619037896906
58,17.46619037896906
59,17.46619037896906
60,17.46619037896906
61,17.46619037896906
62,17.46619037896906
63,17.46619037896906
64,17.46619037896906
65,17.36619037896906
66,17.36619037896906
67,17.36619037896906
68,17.36619037896906
69,17.36619037896906
70,17.36619037896906
71,17.36619037896906
72,17.36619037896906
73,17.36619037896906
74,17.36619037896906
75,17.36619037896906
76,17.36619037896906
77,17.36619037896906
78,17.36619037896906
79,17.36619037896906
80,17.36619037896906
81,17.36619037896906
82,17.36619037896906
83,17.36619037896906
84,17.36619037896906
85,17.36619037896906
86,17.36619037896906
87,17.36619037896906
88,17.36619037896906
89,17.36619037896906
90,17.36619037896906
91,17.36619037896906
92,17.36619037896906
93,17.36619037896906
94,17.36619037896906
95,17.36619037896906
96,17.36619037896906
97,17.36619037896906
98,17.36619037896906
99,17.36619037896906
100,17.36619037896906
