generation,best
0,18.322497216032183
1,18.322497216032183
2,16.878232998312527
3,16.878232998312527
4,16.878232998312527
5,16.878232998312527
6,16.878232998312527
7,16.878232998312527
8,16.878232998312527
9,16.878232998312527
10,16.878232998312527
11,16.878232998312527
12,16.878232998312527
13,16.878232998312527
14,16.878232998312527
15,16.878232998312527
16,16.878232998312527
17,16.878232998312527
18,16.878232998312527
19,16.878232998312527
20,16.878232998312527
21,16.878232998312527
22,16.878232998312527
23,16.878232998312527
24,16.878232998312527
25,16.878232998312527
26,16.878232998312527
27,16.878232998312527
28,16.878232998312527
29,16.878232998312527
30,16.878232998312527
31,16.878232998312527
32,16.878232998312527
33,16.878232998312527
34,16.878232998312527
35,16.878232998312527
36,16.878232998312527
37,16.878232998312527
38,16.878232998312527
39,16.878232998312527
40,16.878232998312527
41,16.878232998312527
42,16.878232998312527
43,16.878232998312527
44,16.878232998312527
45,16.878232998312527
46,16.878232998312527
47,16.878232998312527
48,16.878232998312527
49,16.878232998312527
50,16.878232998312527
51,16.878232998312527
52,16.878232998312527
53,16.878232998312527
54,16.878232998312527
55,16.878232998312527
56,16.878232998312527
57,16.878232998312527
58,16.878232998312527
59,16.878232998312527
60,16.878232998312527
61,16.878232998312527
62,16.878232998312527
63,16.878232998312527
64,16.878232998312527
65,16.878232998312527
66,16.878232998312527
67,16.878232998312527
68,16.878232998312527
69,16.878232998312527
70,16.878232998312527
71,16.878232998312527
72,16.878232998312527
73,16.878232998312527
74,16.878232998312527
75,16.878232998312527
76,16.878232998312527
77,16.878232998312527
78,16.878232998312527
79,16.878232998312527
80,16.878232998312527
81,16.878232998312527
82,16.878232998312527
83,16.878232998312527
84,16.878232998312527
85,16.878232998312527
86,16.878232998312527
87,16.878232998312527
88,16.878232998312527
89,16.878232998312527
90,16.878232998312527
91,16.878232998312527
92,16.878232998312527
93,16.878232998312527
94,16.878232998312527
95,16.878232998312527
96,16.878232998312527
97,16.878232998312527
98,16.878232998312527
99,16.878232998312527
100,16.878232998312527
